location,observed_at_utc,temperature_c,humidity_pct,heat_index_c,wind_speed_kph,condition,risk_category,severity_score_0_100,prediction_methodology,sentiment_adjustment,alert_level,data_mode
"Mumbai, Maharashtra",2026-09-05T06:00:09.673729,28.09,73.5,31.34,12.2,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-05T09:00:09.673729,30.28,78.2,38.0,19.3,Clear,moderate,56.3,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,1.3,,demo
"Mumbai, Maharashtra",2026-09-05T12:00:09.673729,31.04,74.1,39.01,14.8,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-05T15:00:09.673729,32.01,74.2,42.01,17.1,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-05T18:00:09.673729,29.96,72.6,35.58,12.8,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-06T06:00:09.673729,29.08,75.8,34.05,16.9,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-06T09:00:09.673729,30.45,70.2,36.23,10.1,Clear,moderate,58.6,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,3.6,,demo
"Mumbai, Maharashtra",2026-09-06T12:00:09.673729,31.89,68.2,39.45,9.1,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-06T15:00:09.673729,31.1,74.0,39.15,21.9,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-06T18:00:09.673729,30.64,77.4,38.85,21.5,Clouds,,,,,,demo
"Mumbai, Maharashtra",2026-09-07T06:00:09.673729,28.92,71.9,32.91,15.8,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-07T09:00:09.673729,30.89,71.1,37.62,10.6,Clouds,moderate,65.1,ml_severity_model:severity-rf-v1.0.0 + rule_fusion_v1,10.1,,demo
"Mumbai, Maharashtra",2026-09-07T12:00:09.673729,32.13,65.9,39.31,18.8,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-07T15:00:09.673729,31.3,75.2,40.16,13.9,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-07T18:00:09.673729,29.43,75.7,34.94,10.6,Clear,,,,,,demo
"Mumbai, Maharashtra",2026-09-08T06:00:09.673729,28.78,72.0,32.6,10.9,Clear,,,,,,demo
